id,flower_cls
7486,cape flower
9454,cape flower
6974,cape flower
4739,cape flower
8783,cape flower
10569,cape flower
12385,cape flower
6342,cape flower
1444,cape flower
5914,cape flower
6540,cape flower
2388,cape flower
2034,cape flower
3235,cape flower
6938,cape flower
3725,cape flower
3188,cape flower
4155,cape flower
4365,cape flower
171,cape flower
5582,cape flower
3165,cape flower
7242,cape flower
10502,cape flower
683,cape flower
7311,cape flower
12220,cape flower
10772,cape flower
9356,cape flower
7407,cape flower
10957,cape flower
12372,cape flower
544,cape flower
8171,cape flower
1321,cape flower
2683,cape flower
12552,cape flower
2007,cape flower
1447,cape flower
2153,cape flower
4976,cape flower
7074,cape flower
8392,cape flower
5633,cape flower
5020,cape flower
12720,cape flower
12136,cape flower
10213,cape flower
12057,cape flower
10282,cape flower
3521,cape flower
585,cape flower
7403,cape flower
9109,cape flower
8055,cape flower
12249,cape flower
909,cape flower
10560,silverbush
6646,silverbush
5162,silverbush
10299,silverbush
9277,silverbush
11390,silverbush
6331,silverbush
1158,silverbush
12066,silverbush
9728,silverbush
4624,silverbush
10857,silverbush
6656,silverbush
9097,silverbush
1651,silverbush
5052,silverbush
2197,silverbush
8135,silverbush
531,silverbush
1075,silverbush
2275,silverbush
3395,silverbush
12593,silverbush
12559,silverbush
12128,silverbush
7956,silverbush
4104,silverbush
3665,silverbush
1061,moon orchid
8526,moon orchid
4122,moon orchid
3534,moon orchid
12374,moon orchid
3486,moon orchid
2710,moon orchid
1704,moon orchid
2806,moon orchid
4861,moon orchid
7747,moon orchid
9165,moon orchid
7530,moon orchid
1048,moon orchid
11776,moon orchid
2075,moon orchid
12471,moon orchid
5182,moon orchid
4302,anthurium
7727,anthurium
9489,anthurium
6657,anthurium
327,anthurium
1644,anthurium
5768,anthurium
9988,anthurium
870,anthurium
3228,anthurium
2041,anthurium
11271,anthurium
1229,anthurium
9571,anthurium
12400,anthurium
5095,anthurium
6560,anthurium
2774,anthurium
1234,anthurium
11473,anthurium
7788,anthurium
4291,anthurium
8799,anthurium
3819,anthurium
3078,anthurium
10104,anthurium
4029,anthurium
7260,anthurium
8184,anthurium
9666,anthurium
11138,anthurium
6311,anthurium
6580,anthurium
